Geographic code,Year,Race,Sex,Age group,Person-years,Mortality rate,No. of deaths,Rate Lower bound,Rate upper bound,Expected no. of deaths,Sparse content indicator
1099,2000-2004,W,M,All,33826,9.8352,3,0,22.4655,2.74,1
1101,2000-2004,W,M,All,261660,8.3717,21,4.6169,12.1265,20.37,0
1103,2000-2004,W,M,All,240060,7.2029,14,3.0157,11.3901,15.69,0
1105,2000-2004,W,M,All,8761,9.8777,1,0,33.6074,0.93,1
1107,2000-2004,W,M,All,28656,3.7171,1,0,15.2033,2.58,1
1109,2000-2004,W,M,All,43897,5.7256,2,0,16.1623,3.27,1
1111,2000-2004,W,M,All,42186,0,0,0,8.3819,3.64,1
1113,2000-2004,W,M,All,68765,12.2445,8,2.5853,21.9036,4.88,1
1115,2000-2004,W,M,All,154180,3.697,5,0,9.3522,9.04,1
1117,2000-2004,W,M,All,344257,4.4949,11,0.4063,8.5835,16.05,1
1119,2000-2004,W,M,All,8910,9.0298,1,0,32.3331,0.88,1
1121,2000-2004,W,M,All,132963,8.681,11,3.179,14.1831,9.86,1
1123,2000-2004,W,M,All,73251,8.5046,6,0.4518,16.5574,6.74,1
1125,2000-2004,W,M,All,282091,8.4285,20,4.576,12.281,17.92,0
1127,2000-2004,W,M,All,158407,4.4532,7,0.1886,8.7178,11.24,1
1129,2000-2004,W,M,All,29445,5.3847,1,0,19.1744,2.14,1
1131,2000-2004,W,M,All,8619,25.6719,2,0,63.9746,0.89,1
1133,2000-2004,W,M,All,59831,5.3891,4,0,14.8257,4.14,1
2999,2000-2004,W,M,All,1224884,11.3552,55,8.0575,14.653,45.33,0
4001,2000-2004,W,M,All,38025,7.971,2,0,21.9065,2.57,1
4003,2000-2004,W,M,All,275500,4.8698,15,2.1378,7.6018,23.73,0
4005,2000-2004,W,M,All,203241,6.0542,9,0.13,11.9783,8.94,1
4007,2000-2004,W,M,All,106698,12.885,20,7.0028,18.7671,13.07,0
4009,2000-2004,W,M,All,71176,5.7311,4,0,13.7884,4.87,1
4011,2000-2004,W,M,All,20098,0,0,0,14.9315,1.19,1
4013,2000-2004,W,M,All,7477299,7.6732,448,6.9543,8.3921,471.74,0
4015,2000-2004,W,M,All,393904,8.5784,48,5.9919,11.1649,43.98,0
4017,2000-2004,W,M,All,126624,5.1217,6,0,10.4255,9.28,1
4019,2000-2004,W,M,All,1924118,6.9529,134,5.7601,8.1457,154.14,0
4021,2000-2004,W,M,All,454658,7.911,39,5.3002,10.5218,38.53,0
4023,2000-2004,W,M,All,92423,10.8448,8,2.7636,18.926,5.63,1
4025,2000-2004,W,M,All,425457,7.2807,45,5.0357,9.5258,50.83,0
4027,2000-2004,W,M,All,436901,4.4752,22,2.4534,6.497,43.7,0
5001,2000-2004,W,M,All,37315,5.0044,2,0,14.9605,3.24,1
5003,2000-2004,W,M,All,42155,10.6683,4,0,22.0446,3.22,1
5005,2000-2004,W,M,All,92571,9.8976,17,4.9918,14.8034,13.48,0
5007,2000-2004,W,M,All,394285,8.7667,32,5.6137,11.9197,29.2,0
5009,2000-2004,W,M,All,82489,7.3631,7,0.1067,14.6194,7.13,1
5011,2000-2004,W,M,All,22277,4.7452,1,0,18.2834,2.01,1
5013,2000-2004,W,M,All,10568,22.13,3,0,52.4872,0.86,1
5015,2000-2004,W,M,All,63483,17.0668,11,6.6513,27.4823,5.22,1
5017,2000-2004,W,M,All,15625,0,0,0,14.2798,1.38,1
5019,2000-2004,W,M,All,43642,2.6047,1,0,11.865,3.34,1
5021,2000-2004,W,M,All,40928,9.2017,5,0,19.563,3.88,1
5023,2000-2004,W,M,All,58997,8.5327,6,0.8262,16.2391,6.46,1
5025,2000-2004,W,M,All,18487,9.4649,2,0,27.7064,1.38,1
5027,2000-2004,W,M,All,38623,7.1051,3,0,17.3745,3.38,1
5029,2000-2004,W,M,All,43096,7.4124,3,0,17.2523,3.6,1
5031,2000-2004,W,M,All,184178,8.9683,12,3.6783,14.2583,11.3,0
5033,2000-2004,W,M,All,129606,8.7628,9,1.2827,16.2429,7.76,1
5035,2000-2004,W,M,All,64260,6.2022,4,0,16.4058,3.68,1
5037,2000-2004,W,M,All,35888,0,0,0,9.7947,2.7,1
5039,2000-2004,W,M,All,12719,6.1524,1,0,23.4634,1.31,1
5041,2000-2004,W,M,All,18909,0,0,0,12.4224,1.66,1
5043,2000-2004,W,M,All,32751,7.6284,2,0,21.061,2.29,1
5045,2000-2004,W,M,All,198842,10.736,14,4.383,17.089,10.22,0
5047,2000-2004,W,M,All,43268,14.2475,6,2.2578,26.2372,3.58,1
5049,2000-2004,W,M,All,28191,2.1003,1,0,11.883,3.12,1
5051,2000-2004,W,M,All,198335,8.141,21,4.2997,11.9823,22.67,0
5053,2000-2004,W,M,All,40248,11.8748,4,0,26.036,2.5,1
5055,2000-2004,W,M,All,92124,2.2899,2,0,8.774,6.19,1
5057,2000-2004,W,M,All,40203,2.0143,1,0,11.7531,3.01,1
5059,2000-2004,W,M,All,66881,4.7545,3,0,11.3113,5.58,1
5061,2000-2004,W,M,All,27403,0,0,0,10.5494,2.25,1
5063,2000-2004,W,M,All,81479,4.7442,4,0,11.4959,6.04,1
5065,2000-2004,W,M,All,32609,0,0,0,8.3044,3.65,1
5067,2000-2004,W,M,All,34194,17.0787,6,2.6453,31.5121,2.99,1
5069,2000-2004,W,M,All,100397,2.9123,2,0,8.8887,8.37,1
5071,2000-2004,W,M,All,56095,6.6752,4,0,15.8225,4.18,1
5073,2000-2004,W,M,All,12909,0,0,0,13.9392,1.31,1
5075,2000-2004,W,M,All,42150,8.0513,4,0,17.9833,3.69,1
5077,2000-2004,W,M,All,14430,20.8099,2,0,51.5921,1.02,1
5079,2000-2004,W,M,All,27087,3.907,1,0,18.7363,1.59,1
5081,2000-2004,W,M,All,25419,17.8112,5,0,35.8998,2.14,1
5083,2000-2004,W,M,All,54819,1.5151,1,0,9.4381,4.56,1
5085,2000-2004,W,M,All,127171,6.3741,5,0,13.2136,6.76,1
5087,2000-2004,W,M,All,35389,15.0249,5,0.2619,29.788,2.78,1
5089,2000-2004,W,M,All,39806,5.7349,3,0,14.8794,4.28,1
5091,2000-2004,W,M,All,77323,6.2791,4,0,13.0919,5.44,1
5093,2000-2004,W,M,All,79758,12.8878,9,4.0725,21.7031,5.69,1
5095,2000-2004,W,M,All,14225,19.6517,3,0,43.8561,1.37,1
5097,2000-2004,W,M,All,22207,15.9775,4,0,33.0082,2.2,1
5099,2000-2004,W,M,All,16160,5.0036,1,0,21.2807,1.34,1
5101,2000-2004,W,M,All,21514,12.5601,3,0,30.429,1.79,1
5103,2000-2004,W,M,All,40349,3.9687,2,0,12.323,3.99,1
5105,2000-2004,W,M,All,24966,0,0,0,11.7502,1.93,1
5107,2000-2004,W,M,All,23412,10.3158,3,0,25.5599,2.17,1
5109,2000-2004,W,M,All,26143,6.5731,2,0,20.1444,2.36,1
5111,2000-2004,W,M,All,57309,8.3986,5,0,17.9258,4.04,1
5113,2000-2004,W,M,All,48632,4.832,3,0,12.8816,4.53,1
5115,2000-2004,W,M,All,129404,3.7158,4,0,8.7708,8.67,1
5117,2000-2004,W,M,All,19792,8.9106,2,0,25.0092,1.92,1
5119,2000-2004,W,M,All,571227,6.5762,32,4.2041,8.9483,40.58,0
5121,2000-2004,W,M,All,43917,5.6078,3,0,14.8126,3.78,1
5123,2000-2004,W,M,All,38175,9.9638,4,0,23.3936,2.44,1
5125,2000-2004,W,M,All,205633,7.8193,14,3.4597,12.179,13.66,0
5127,2000-2004,W,M,All,26752,13.5189,3,0,30.4695,1.99,1
5129,2000-2004,W,M,All,19834,14.1808,4,0,30.1359,2.1,1
5131,2000-2004,W,M,All,250156,6.0858,14,2.5412,9.6303,17.24,0
5133,2000-2004,W,M,All,36667,10.4996,3,0,24.6608,2.43,1
5135,2000-2004,W,M,All,41038,12.8697,8,3.2754,22.4641,4.97,1
5137,2000-2004,W,M,All,28209,17.2287,6,2.3481,32.1092,2.95,1
5139,2000-2004,W,M,All,72299,3.3448,3,0,9.4793,6.56,1
5141,2000-2004,W,M,All,39499,8.972,5,0,18.2159,4.85,1
5143,2000-2004,W,M,All,387540,10.8725,25,6.4814,15.2636,19.83,0
5145,2000-2004,W,M,All,160463,9.1043,14,3.7644,14.4442,11.53,0
5147,2000-2004,W,M,All,14275,18.8392,3,0,43.3494,1.21,1
5149,2000-2004,W,M,All,51740,1.6363,1,0,10.0672,3.85,1
6001,2000-2004,W,M,All,2170451,7.298,121,5.9787,8.6173,130.8,0
6003,2000-2004,W,M,All,2534,0,0,0,39.6162,0.18,1
6005,2000-2004,W,M,All,89836,12.0293,14,5.5123,18.5462,9.04,0
6007,2000-2004,W,M,All,466031,7.1743,38,4.809,9.5397,42.44,0
6009,2000-2004,W,M,All,102463,9.1336,12,3.703,14.5643,10.24,0
6011,2000-2004,W,M,All,46738,13.2634,5,0.9737,25.553,3.01,1
6013,2000-2004,W,M,All,1834387,7.4412,116,6.065,8.8174,123.62,0
6015,2000-2004,W,M,All,63562,11.3969,7,1.7301,21.0637,4.65,1
6017,2000-2004,W,M,All,391320,9.3436,32,6.0085,12.6786,27.49,0
6019,2000-2004,W,M,All,1729950,8.2786,99,6.6243,9.933,95.12,0
6021,2000-2004,W,M,All,63199,6.9216,4,0,15.3859,4.59,1
6023,2000-2004,W,M,All,282205,6.0972,15,2.6538,9.5406,20.69,0
6025,2000-2004,W,M,All,339655,4.5733,11,1.5685,7.5781,18.71,0
6027,2000-2004,W,M,All,39218,7.4003,4,0,16.6731,4.37,1
6029,2000-2004,W,M,All,1552025,6.4087,64,4.8011,8.0163,77.44,0
6031,2000-2004,W,M,All,324910,6.3946,9,1.651,11.1382,12.36,1
6033,2000-2004,W,M,All,141379,6.8447,12,2.8136,10.8758,14.55,0
6035,2000-2004,W,M,All,86620,9.0684,5,0,18.2751,4.25,1
6037,2000-2004,W,M,All,18301990,7.0632,831,6.5785,7.548,949.45,0
6039,2000-2004,W,M,All,287864,9.9313,23,5.7828,14.0798,18.27,0
6041,2000-2004,W,M,All,549023,7.3722,40,5.0002,9.7442,45.22,0
6043,2000-2004,W,M,All,41894,12.6133,7,1.6305,23.5961,4.3,1
6045,2000-2004,W,M,All,200922,9.3502,19,5.0625,13.6379,16.27,0
6047,2000-2004,W,M,All,485755,8.6255,25,5.1056,12.1453,24.18,0
6049,2000-2004,W,M,All,22400,12.0544,3,0,28.1907,2.26,1
6051,2000-2004,W,M,All,33725,22.8059,2,0,55.9854,1.53,1
6053,2000-2004,W,M,All,914773,5.548,34,3.6582,7.4379,48.62,0
6055,2000-2004,W,M,All,297776,10.1282,32,6.5557,13.7007,25.78,0
6057,2000-2004,W,M,All,229199,5.113,14,2.2713,7.9548,22.86,0
6059,2000-2004,W,M,All,5935259,7.9256,327,7.0533,8.7979,330.82,0
6061,2000-2004,W,M,All,639355,7.4213,44,5.1763,9.6663,47.98,0
6063,2000-2004,W,M,All,50226,7.1025,5,0,15.1745,5.29,1
6065,2000-2004,W,M,All,3684726,8.432,273,7.4266,9.4374,260.43,0
6067,2000-2004,W,M,All,2332273,9.2803,173,7.8839,10.6767,150.43,0
6069,2000-2004,W,M,All,130983,2.5329,2,0,9.2246,6.04,1
6071,2000-2004,W,M,All,3743315,8.7986,194,7.5304,10.0667,176.27,0
6073,2000-2004,W,M,All,5952887,6.9537,334,6.2048,7.7025,386.19,0
6075,2000-2004,W,M,All,1162165,8.7857,84,6.8486,10.7227,76.4,0
6077,2000-2004,W,M,All,1170525,7.6717,65,5.7808,9.5626,67.77,0
6079,2000-2004,W,M,All,594615,5.8843,34,3.8913,7.8772,47.57,0
6081,2000-2004,W,M,All,1246395,7.6683,88,6.0346,9.302,94.34,0
6083,2000-2004,W,M,All,907948,8.5291,69,6.5078,10.5504,65.39,0
6085,2000-2004,W,M,All,2848017,7.2729,146,6.0675,8.4783,164.09,0
6087,2000-2004,W,M,All,585544,7.5856,33,4.9292,10.2419,33.22,0
6089,2000-2004,W,M,All,389458,9.4191,40,6.4568,12.3815,33.68,0
6091,2000-2004,W,M,All,8718,8.2365,1,0,30.8505,0.93,1
6093,2000-2004,W,M,All,100883,3.3653,5,0,7.7774,11.03,1
6095,2000-2004,W,M,All,688076,9.8751,49,7.0522,12.698,39.05,0
6097,2000-2004,W,M,All,1056700,8.9906,89,7.1017,10.8796,77.25,0
6099,2000-2004,W,M,All,1047814,7.3391,56,5.3824,9.2958,59.34,0
6101,2000-2004,W,M,All,169303,5.4272,8,0.3993,10.4551,11.3,1
6103,2000-2004,W,M,All,136519,6.6368,10,2.1982,11.0753,11.88,1
6105,2000-2004,W,M,All,31540,2.6496,1,0,12.4641,3.17,1
6107,2000-2004,W,M,All,881314,7.4837,42,5.1836,9.7838,45.71,0
6109,2000-2004,W,M,All,136826,8.8662,15,4.0652,13.6671,13.62,0
6111,2000-2004,W,M,All,1744393,6.7001,82,5.2286,8.1717,101,0
6113,2000-2004,W,M,All,363442,9.6259,25,5.776,13.4758,20.61,0
6115,2000-2004,W,M,All,132871,11.3162,10,3.8465,18.7859,7.81,1
8001,2000-2004,W,M,All,871125,8.2839,35,5.3051,11.2627,34.57,0
8003,2000-2004,W,M,All,34934,7.875,2,0,22.9823,1.92,1
8005,2000-2004,W,M,All,1065785,6.5497,41,4.472,8.6273,55.02,0
8007,2000-2004,W,M,All,26868,2.9161,1,0,17.3852,1.82,1
8009,2000-2004,W,M,All,10577,0,0,0,13.7641,1.34,1
8011,2000-2004,W,M,All,14388,0,0,0,14.7527,1.17,1
8013,2000-2004,W,M,All,739228,9.4405,36,6.2122,12.6688,32.34,0
8015,2000-2004,W,M,All,42130,5.8876,3,0,15.3023,3.73,1
8017,2000-2004,W,M,All,5213,10.8133,1,0,40.4155,0.53,1
8019,2000-2004,W,M,All,23904,3.3413,1,0,22.3317,1.05,1
8021,2000-2004,W,M,All,20216,0,0,0,11.8972,1.76,1
8023,2000-2004,W,M,All,8324,0,0,0,18.1656,0.8,1
8025,2000-2004,W,M,All,15788,11.0771,1,0,37.5907,0.79,1
8027,2000-2004,W,M,All,9188,18.7197,2,0,51.3457,0.77,1
8029,2000-2004,W,M,All,70622,8.3279,8,1.999,14.6568,7.99,1
8031,2000-2004,W,M,All,1180352,6.4767,56,4.7549,8.1985,68.46,0
8033,2000-2004,W,M,All,4521,0,0,0,24.8967,0.41,1
8035,2000-2004,W,M,All,498308,13.5004,18,6.3274,20.6734,13.67,0
8037,2000-2004,W,M,All,118352,0,0,0,13.1013,2.58,1
8039,2000-2004,W,M,All,53163,10.2738,2,0,26.36,2.27,1
8041,2000-2004,W,M,All,1189908,6.9359,50,4.9265,8.9452,56.77,0
8043,2000-2004,W,M,All,119094,5.0388,6,0,10.6365,9.05,1
8045,2000-2004,W,M,All,117025,5.5901,4,0,12.7236,5.57,1
8047,2000-2004,W,M,All,12471,5.0455,1,0,32.9709,0.51,1
8049,2000-2004,W,M,All,33424,0,0,0,14.2422,1.56,1
8051,2000-2004,W,M,All,37071,7.6905,1,0,27.2525,1.43,1
8053,2000-2004,W,M,All,1939,0,0,0,42.7191,0.16,1
8055,2000-2004,W,M,All,19197,9.1815,2,0,24.5398,1.86,1
8057,2000-2004,W,M,All,3751,0,0,0,29.4044,0.31,1
8059,2000-2004,W,M,All,1250156,6.1824,54,4.4315,7.9333,69.54,0
8061,2000-2004,W,M,All,3588,24.5445,1,0,77.6312,0.38,1
8063,2000-2004,W,M,All,20003,19.5907,4,0,40.4185,1.61,1
8065,2000-2004,W,M,All,20214,0,0,0,20.5978,0.74,1
8067,2000-2004,W,M,All,107346,4.9685,3,0,11.5272,6.07,1
8069,2000-2004,W,M,All,630564,7.1615,29,4.4746,9.8484,33.52,0
8071,2000-2004,W,M,All,35755,13.7741,6,1.5739,25.9744,3.55,1
8073,2000-2004,W,M,All,14965,0,0,0,14.8821,1.13,1
8075,2000-2004,W,M,All,52617,1.9726,1,0,10.5217,3.93,1
8077,2000-2004,W,M,All,291555,9.0922,27,5.4513,12.7331,24.07,0
8079,2000-2004,W,M,All,2206,0,0,0,48.622,0.2,1
8081,2000-2004,W,M,All,34075,6.6558,1,0,23.1109,1.72,1
8083,2000-2004,W,M,All,52736,6.4709,4,0,15.9073,4.27,1
8085,2000-2004,W,M,All,84349,5.935,6,0,12.8963,7.26,1
8087,2000-2004,W,M,All,67832,5.1238,3,0,13.5009,4.67,1
8089,2000-2004,W,M,All,46397,14.5037,7,2.6416,26.3659,4.12,1
8091,2000-2004,W,M,All,9765,18.4727,2,0,52.3649,0.68,1
8093,2000-2004,W,M,All,40158,0,0,0,13.6623,1.87,1
8095,2000-2004,W,M,All,10740,0,0,0,14.7827,1.15,1
8097,2000-2004,W,M,All,38739,15.5208,2,0,39.5726,1.84,1
8099,2000-2004,W,M,All,34859,6.4322,2,0,19.7258,2.25,1
8101,2000-2004,W,M,All,338230,4.2156,14,1.7355,6.6956,27.39,0
8103,2000-2004,W,M,All,14835,25.006,2,0,62.3132,0.91,1
8105,2000-2004,W,M,All,29364,3.7917,1,0,14.8895,2.51,1
8107,2000-2004,W,M,All,54401,0,0,0,14.0468,1.75,1
8109,2000-2004,W,M,All,15802,18.4294,2,0,47.8816,0.97,1
8111,2000-2004,W,M,All,1449,0,0,0,62.1304,0.09,1
8113,2000-2004,W,M,All,18686,0,0,0,31.6619,0.48,1
8115,2000-2004,W,M,All,6532,0,0,0,17.79,0.79,1
8117,2000-2004,W,M,All,69430,0,0,0,16.2255,1.58,1
8119,2000-2004,W,M,All,52739,3.9658,2,0,17.4539,2.44,1
8121,2000-2004,W,M,All,12109,6.6194,1,0,25.2248,1.23,1
8123,2000-2004,W,M,All,492746,8.4264,22,4.714,12.1388,22.8,0
8125,2000-2004,W,M,All,23977,3.6662,1,0,15.4469,2.11,1
9001,2000-2004,W,M,All,1844975,7.3642,130,6.0819,8.6465,141.8,0
9003,2000-2004,W,M,All,1733498,7.6907,144,6.4252,8.9561,150.63,0
9005,2000-2004,W,M,All,440727,9.0341,40,6.2009,11.8674,35.33,0
9007,2000-2004,W,M,All,359886,5.9706,21,3.3597,8.5814,28.14,0
9009,2000-2004,W,M,All,1689508,10.5375,188,9.0228,12.0522,145.43,0
9011,2000-2004,W,M,All,579167,9.4688,48,6.7494,12.1882,42.26,0
9013,2000-2004,W,M,All,329819,8.0854,20,4.4239,11.7468,19.95,0
9015,2000-2004,W,M,All,262094,7.8174,16,3.8014,11.8334,17.31,0
10001,2000-2004,W,M,All,242219,9.3917,21,5.266,13.5174,16.27,0
10003,2000-2004,W,M,All,933952,8.8118,71,6.7228,10.9007,64.13,0
10005,2000-2004,W,M,All,336233,10.2456,47,7.1883,13.303,35.18,0
11001,2000-2004,W,M,All,513072,6.0137,21,3.3809,8.6465,28.62,0
12001,2000-2004,W,M,All,407576,10.6443,30,6.694,14.5946,22.8,0
12003,2000-2004,W,M,All,50573,9.2454,3,0,24.834,2.39,1
12005,2000-2004,W,M,All,326527,7.2401,22,3.8919,10.5884,24.02,0
12007,2000-2004,W,M,All,54433,12.4838,5,0,25.1465,3.73,1
12009,2000-2004,W,M,All,1081720,8.7816,130,7.2401,10.3231,120.94,0
12011,2000-2004,W,M,All,3026654,8.741,341,7.8027,9.6794,318.23,0
12013,2000-2004,W,M,All,27355,11.0377,2,0,29.0034,1.92,1
12015,2000-2004,W,M,All,335542,9.0483,75,6.8765,11.2202,66.32,0
12017,2000-2004,W,M,All,286014,6.531,39,4.3257,8.7362,51.03,0
12019,2000-2004,W,M,All,335201,6.5892,17,3.1691,10.0092,18.96,0
12021,2000-2004,W,M,All,643886,5.568,60,4.0478,7.0882,87.13,0
12023,2000-2004,W,M,All,119964,6.7247,8,1.5571,11.8924,9.47,1
12025,2000-2004,W,M,All,4308536,7.9405,334,7.0828,8.7982,337.44,0
12027,2000-2004,W,M,All,78922,5.6513,5,0,11.5955,7.73,1
12029,2000-2004,W,M,All,32672,8.6068,3,0,20.9403,3.15,1
12031,2000-2004,W,M,All,1326471,8.9158,92,7.0367,10.795,79.54,0
12033,2000-2004,W,M,All,550850,9.3956,47,6.6142,12.1771,41.12,0
12035,2000-2004,W,M,All,127078,7.2553,17,3.32,11.1906,18.73,0
12037,2000-2004,W,M,All,22354,0,0,0,11.1872,2.18,1
12039,2000-2004,W,M,All,47919,13.1478,7,1.903,24.3927,3.83,1
12041,2000-2004,W,M,All,35778,7.3297,2,0,20.642,2.63,1
12043,2000-2004,W,M,All,24417,6.024,3,0,17.5307,2.73,1
12045,2000-2004,W,M,All,29919,7.6411,2,0,21.6551,2.55,1
12047,2000-2004,W,M,All,24404,9.7873,3,0,27.3074,1.47,1
12049,2000-2004,W,M,All,65673,9.4624,4,0,20.367,4.82,1
12051,2000-2004,W,M,All,87081,3.894,3,0,12.5089,4.6,1
12053,2000-2004,W,M,All,314813,8.0254,49,5.634,10.4168,52.53,0
12055,2000-2004,W,M,All,195089,5.2768,25,2.7727,7.7809,37.67,0
12057,2000-2004,W,M,All,2088808,8.2032,149,6.8626,9.5437,141.78,0
12059,2000-2004,W,M,All,44175,17.2206,8,4.7769,29.6643,3.42,1
12061,2000-2004,W,M,All,259430,6.5245,31,4.0145,9.0344,44.02,0
12063,2000-2004,W,M,All,86353,9.2562,8,1.3766,17.1358,6.76,1
12065,2000-2004,W,M,All,22208,11.6613,3,0,28.8491,1.75,1
12067,2000-2004,W,M,All,17136,14.2956,2,0,39.0498,1.07,1
12069,2000-2004,W,M,All,514922,8.6226,80,6.6355,10.6098,77.02,0
12071,2000-2004,W,M,All,1068288,8.2641,148,6.8776,9.6507,150.57,0
12073,2000-2004,W,M,All,394875,9.5519,24,5.4802,13.6237,20.49,0
12075,2000-2004,W,M,All,77283,7.7172,7,1.0919,14.3425,7.96,1
12077,2000-2004,W,M,All,15872,11.3643,1,0,38.8553,0.85,1
12079,2000-2004,W,M,All,28756,5.9305,2,0,18.5802,2.43,1
12081,2000-2004,W,M,All,610702,6.125,61,4.5016,7.7485,85.98,0
12083,2000-2004,W,M,All,575026,7.8033,81,5.978,9.6286,80.04,0
12085,2000-2004,W,M,All,300827,5.671,37,3.6396,7.7024,48.78,0
12087,2000-2004,W,M,All,196048,8.1555,17,4.026,12.285,16.71,0
12089,2000-2004,W,M,All,136618,8.0073,8,1.0331,14.9814,9.28,1
12091,2000-2004,W,M,All,382921,7.4907,27,4.4887,10.4927,25.26,0
12093,2000-2004,W,M,All,88268,4.9312,5,0,11.3651,7.8,1
12095,2000-2004,W,M,All,1768214,8.1979,104,6.5776,9.8183,98.45,0
12097,2000-2004,W,M,All,422306,5.7672,17,2.7684,8.7661,26.04,0
12099,2000-2004,W,M,All,2360506,6.8448,303,6.0501,7.6395,354.46,0
12101,2000-2004,W,M,All,861963,8.9534,133,7.3854,10.5213,123.45,0
12103,2000-2004,W,M,All,1929015,8.5608,260,7.5098,9.6117,249.34,0
12105,2000-2004,W,M,All,1036822,7.7855,103,6.2475,9.3234,107.97,0
12107,2000-2004,W,M,All,144829,11.1757,21,6.1086,16.2429,15.09,0
12109,2000-2004,W,M,All,309520,6.8449,22,3.7974,9.8925,26.25,0
12111,2000-2004,W,M,All,418068,8.8882,60,6.5341,11.2423,55.9,0
12113,2000-2004,W,M,All,295073,7.3834,13,2.7378,12.0291,18.14,0
12115,2000-2004,W,M,All,763651,6.9064,114,5.5602,8.2526,137.91,0
12117,2000-2004,W,M,All,802078,8.4765,50,5.9611,10.992,47.35,0
12119,2000-2004,W,M,All,126064,5.7297,12,1.9299,9.5294,17.07,0
12121,2000-2004,W,M,All,77847,7.9441,6,0.2626,15.6257,7.05,1
12123,2000-2004,W,M,All,38718,16.7626,7,2.6092,30.9159,3.03,1
12125,2000-2004,W,M,All,32169,9.4904,1,0,33.3876,1.23,1
